,Unnamed: 0,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar
51,51,01/04/2021,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
52,52,01/05/2021,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,3801495.08,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
53,53,01/06/2021,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,3921981.953,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3640081.868
54,54,01/07/2021,161382.8,30131.5,162332761.4,120904098.3,5751181.8,162332761.4,49271257.0,37146178.9,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,34683058.37,4322896.98,14292062.1,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
55,55,01/08/2021,161382.8,30131.5,162332761.4,120181530.9,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,34500426.75,4446217.5,14512831.62,19975807.9,6358197.5,1263304.4,22173586.3,2944642.775
56,56,01/09/2021,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,34575381.28,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,34298836.96,4333686.607,14489891.67,19975807.9,6358197.5,1103823.945,22173586.3,2805934.305
57,57,01/10/2021,140487.5,30131.5,140487487.3,136000643.3,5751181.8,140487487.3,43323345.69,39697514.99,50159841.63,7306784.95,140487487.3,97615705.17,17838460.22,37081602.26,4773476.075,15561032.0,16349404.55,6358197.5,1226503.662,22173586.3,3328328.421
58,58,01/11/2021,141702.0,30131.5,141701960.7,135950778.8,5751181.809,141701960.7,43762928.15,39925207.45,50752243.39,7261581.669,141701960.7,95609863.77,18180428.41,36354580.02,4509964.85,14720418.14,19975807.9,6358197.5,1213625.23,22173586.3,3209173.083
59,59,01/12/2021,183983.2,31595.7,183983151.9,139351757.5,5751181.8,183983151.9,56640033.15,43332959.2,62999676.15,8911251.213,183983151.9,128135286.6,19304580.4,45199914.72,4446217.5,16275221.46,21265049.45,5863700.608,1263304.4,21753939.73,3330829.3
60,60,01/01/2022,154517.1,30131.5,154517094.2,149697614.6,5751181.8,154517094.2,46962602.22,46053650.13,54048333.12,7452508.718,154517094.2,103783610.3,20364496.48,37505172.62,4860317.68,16104766.21,17408486.73,6138441.197,1401929.429,21330213.29,3782646.219
61,61,01/02/2022,152202.6,30131.5,152202573.4,148406529.3,5751181.8,152202573.4,46290956.21,45283575.25,53705893.17,7969403.2,152202573.4,105530494.0,20067560.91,38209790.62,5045920.421,16139816.5,18260738.31,6436027.691,1370639.589,20305446.86,3330829.3
62,62,01/03/2022,161382.8,30131.5,168982502.3,164321107.3,5751181.8,168982502.3,51262080.99,47364363.88,56170596.4,7940040.869,168982502.3,118823011.7,19759206.71,45418860.16,4446217.5,18419163.96,20827602.02,6886240.029,1263304.4,22942013.09,3912852.426
63,63,01/04/2022,177148.1,30131.5,177148082.8,139351757.5,5751181.8,177148082.8,53189998.68,50063972.79,65357591.09,7969403.2,177148082.8,127796957.0,20641687.4,49991675.91,4446217.5,19309461.59,22877841.24,6510665.781,1263304.4,23131265.85,3330829.3
64,64,01/05/2022,179639.2,30131.5,179639238.6,139351757.5,5751181.8,179639238.6,52738110.62,49886787.86,56170596.4,8944251.942,179639238.6,126457871.8,18583941.03,50150351.46,4446217.5,20121124.43,22841532.85,6314109.47,1263304.4,23578638.71,3330829.3
